ID	IL.1RA	IL.7	GRO.alpha	IL.8	IP.10	MCP.1	MIP.1.alpha	MIP.1.beta	SDF.1.alpha	RANTES	IL.13	IL.1.beta	IL.2	IL.6	TNF.alpha	IL.18	IL.10	IL.21	IL.22	LIF	BDNF	PDGF.BB	PIGF.1	bNGF	VEGF.A	HGF	Leptin	IDO
X198	0.240433604	-1.762070872	-0.270642565	-0.435156216	-1.388957658	0.161557905	-0.450376564	-0.292298783	-0.503914312	-0.898642597	-1.176200884	0.521501181	-0.844306439	1.340257972	-0.546996473	-1.066066142	-0.905508607	-0.061603015	-0.601105137	0.684241589	0.251521754	-1.086442438	0.614198396	-0.505919385	-0.492918177	0.030877862	0.987626216	-1.02497321
X199	-0.727989581	0.026465479	0.821588294	0.197715528	0.828306709	1.035000701	2.020180327	2.50260094	2.5175758	2.429474302	-1.727715654	1.873097094	-0.147913871	1.57689469	1.566735975	-0.504808258	1.393778317	1.625976512	-0.894490971	0.553970552	0.530849654	-0.523764629	2.120921711	-0.967513971	-0.814211327	1.338363991	1.809945681	-1.235891352
X200	0.792063568	-1.187501383	-0.037666992	-0.212672395	0.519111657	1.072667074	2.538172143	2.110664006	1.03568069	2.10534692	0.021752846	0.820504573	0.002073887	0.85671778	0.877870888	-0.654984833	1.022167276	1.743569125	-0.269250418	0.656614953	-0.800922735	-1.860993729	1.814576869	-0.610238573	0.739410195	0.215277188	1.439791236	-0.654862211
X201	1.076688273	1.295824331	1.202973936	1.076550172	0.063909939	1.342483506	-0.336338415	0.025619079	0.76740545	-0.283168222	-1.237551658	-0.90578084	-0.317229443	0.254350985	-0.589895763	-2.064139452	-0.691551908	-0.546583271	-1.683821095	-0.177121798	-0.145076095	-1.223206092	0.002896967	-0.479572235	0.152274233	0.230091307	0.935899051	-1.147694512
X202	0.794389983	-0.04024702	1.823982156	1.566266575	-0.414501137	1.313430037	1.672032148	2.036917295	1.776314865	2.180216299	-0.103382566	1.855499691	1.881580113	1.448747475	1.318068954	-0.039302519	2.723258444	1.269601891	-1.522005415	1.247896608	-0.659254217	-1.950008313	1.419275956	-1.68382534	0.512266474	0.086422069	0.381774944	-1.442681027
X203	1.219100865	0.585420756	0.782791722	0.920188228	1.161769925	0.845842063	-0.43058709	0.030607626	0.581189818	0.164397689	-0.318834851	-0.431568092	0.3045076	0.682712962	-0.197597493	-0.2401415	0.082490304	1.099762986	-1.211530146	0.326570198	1.131966182	0.145128494	1.143402413	-0.217276873	1.652828292	1.009697464	-0.077179664	-0.072308165
X204	0.671220687	1.575480661	0.959516608	1.017006007	0.266377544	0.687580679	1.038321531	1.221637949	0.909335973	1.149711263	-0.20933854	1.900336473	0.607788338	1.773160162	0.80009572	-0.20646409	0.804546732	1.384901856	-0.836599136	1.433237937	0.430993207	-0.611568738	1.501800092	-0.058671042	1.359197064	0.394537004	0.992980134	-0.717346486
X205	1.227756827	-0.870423684	1.25946051	1.429245449	1.008331582	0.702199529	-0.427372701	-0.042474102	0.92729517	0.114415926	-1.255114661	0.61627261	0.446811205	1.027045579	-0.496367087	-0.674928672	-0.129278285	1.313244514	-1.029967567	-0.003860432	-0.93105737	-1.298883181	1.301639834	-1.43929016	1.193025192	-0.057015447	0.976984487	-1.002814085
X206	0.788429971	0.082472412	0.892308072	1.345141379	0.475588135	0.204516449	0.655419417	0.740058691	1.141896939	1.655385794	-1.611729008	0.613950428	0.711493676	1.042220205	0.731747996	-0.815822612	0.514704215	0.393427051	-1.395068139	0.237837583	0.403640583	0.467710461	0.864536368	-1.052912822	0.247716014	0.847369061	1.294578678	1.219985765
X207	0.474963721	-1.192617925	0.784271356	1.0141358	1.012190767	1.022217421	0.798020474	1.08549808	1.299024841	0.828784623	-0.945178748	1.098863499	1.325601179	1.632189388	0.588310956	-1.448986891	0.360428209	0.604260067	-0.989967595	0.027942199	-1.410477214	-0.607708954	0.513853299	-0.529770019	0.550182341	1.154259709	1.41718253	-0.394498759
X208	0.562566208	1.040707251	-0.978936748	-0.434063995	-0.477344558	-0.15683692	1.003943505	0.538938227	-0.269446272	0.294773217	1.041571088	0.82728554	1.164593877	0.020269954	1.229982252	0.865302684	1.290056609	-0.680026445	1.682781727	0.455936947	0.039647266	0.312678184	-1.198500824	0.441178087	-1.115957764	-0.090286851	0.480678247	-0.469247237
X209	1.750332929	0.528733467	1.587930827	1.157579851	-0.721936568	1.67531104	0.69911567	0.768625793	1.150782041	0.911837702	-1.961035873	0.187804286	0.81508657	1.264363182	1.356774728	-1.041742975	0.953761099	0.306485787	-1.331975636	0.847122491	-0.378977854	-0.675806719	-0.048178233	-1.237134217	2.385402493	1.295339575	2.022695412	-0.646939375
X210	-0.271123164	1.457095751	2.512780565	1.881920552	-1.722138853	0.81757031	1.598938219	1.435350987	2.008470189	1.323568829	-0.587530833	1.460182185	1.891166959	1.183289709	1.616096384	-0.893590243	1.314155611	1.650102529	-0.382382904	1.46137823	-0.424786471	-0.368809427	2.028738073	-1.020875303	0.193231917	-0.457192083	0.854276845	-1.108690774
X211	0.807785659	-0.396278083	0.528178412	0.381365515	0.301604845	0.386811708	0.509639552	0.690356525	0.830745321	1.023701268	-1.800520555	0.616779209	0.421967868	0.724493061	0.705588087	-1.177700291	0.012300521	0.932190442	-0.823771708	0.641708071	-0.0736404	-0.299158959	0.691878173	-0.759305117	0.952901964	0.637223529	-0.746429853	-0.096105489
