ID	IL.1RA	IL.7	GRO.alpha	IL.8	IP.10	MCP.1	MIP.1.alpha	MIP.1.beta	SDF.1.alpha	RANTES	IL.13	IL.1.beta	IL.2	IL.6	TNF.alpha	IL.18	IL.10	IL.21	IL.22	LIF	BDNF	PDGF.BB	PIGF.1	bNGF	VEGF.A	HGF	Leptin	IDO
X166	-1.496824042	0.890284865	0.31699125	-0.395736404	-0.158946271	-0.806062088	-1.156962841	-0.776690011	-0.44080708	-0.621650363	0.888842096	-1.503845499	-0.53918689	-0.66096523	-0.263398219	-0.620987613	0.023739606	0.094543707	0.779462075	0.481555779	0.736946418	1.042157767	0.294553683	1.114574727	0.370434678	0.894394723	-0.841351002	0.281499703
X167	-0.921065293	0.184641067	1.201273487	0.973875778	-0.082463447	0.793155456	0.069503193	0.126771948	1.136523161	1.192339436	-1.055588174	-1.070466703	0.972875927	0.396120642	-0.627898782	-0.914594707	0.947382842	1.060485877	0.156093817	0.579211985	1.756419813	2.047108019	1.102167831	-0.173500493	0.858152305	0.56255278	-0.022209343	0.521289937
X168	-0.335757108	-0.055222621	0.866495238	1.638346028	0.749280215	0.759899529	0.386151237	0.47645129	0.88299923	0.802670886	-1.42557329	-0.09330467	0.22394233	0.692215381	-1.259578527	0.467299139	0.421333789	0.745504986	-1.393154447	-0.699015217	0.120064988	-0.790649985	0.758225642	-0.954391894	0.318753001	-1.191597637	0.328913641	-1.130664764
X169	-1.483012956	-0.63039821	0.439868217	-0.045606295	-1.539136477	-0.150867031	0.256175126	-0.104376451	0.477766922	-0.853543215	2.163372905	0.21849694	0.100814072	0.889299097	1.580926999	-1.189824518	1.069300059	0.481508973	1.262590565	-1.658796911	-0.918530237	0.125675355	0.453709701	1.766686126	-0.084972228	-0.822239396	-0.895412128	0.317695205
X170	-0.835396138	-1.168479345	0.649727225	0.773765481	-0.084713415	-0.004708013	-0.084121244	0.319699032	0.642415134	0.316226794	0.166212189	-0.206273259	0.279390904	0.313345399	0.898224654	-0.807345356	-0.106137341	0.515094025	0.124940778	-0.865904631	-0.732168175	-0.802771787	0.611995355	0.636782061	-0.774377167	-0.984914138	-0.615894016	-0.433306966
X171	0.779681162	0.241273314	0.76668261	0.955471808	0.223342642	1.08099777	0.983448573	1.378075038	0.786061478	1.273255338	1.06086567	0.663565057	0.448071001	0.797956334	1.968370124	-0.180544851	0.75485444	0.805354086	1.066905301	0.951473775	0.650631597	-0.628954788	0.784943094	0.268302481	0.443421837	-0.338779937	-0.233482272	-0.51420041
X172	1.800677275	-0.550729433	-0.579504067	0.752108316	1.226707214	0.434900389	1.107291967	1.358307166	0.459406206	0.556433527	-0.837158715	-0.399801651	-1.149689423	-1.367538665	0.825685481	1.790157288	-1.022566162	-0.624766496	-0.470250769	-0.3679849	-0.620382806	-0.834458494	-0.368422407	-0.595260081	-0.632280106	-1.386713343	-0.310081097	-1.287196468
X173	0.922072446	-0.626183379	-1.03863091	-0.869476304	-1.486356333	-0.243802731	-0.27378774	-0.950655469	-1.362369162	-0.806151143	0.724608161	1.034799233	-1.83375847	-1.002188669	0.082296031	0.016108781	-1.01161794	-0.298292973	0.028665083	-0.056285226	-0.629473872	-0.122983037	-1.255304798	1.09772469	-0.227692836	0.712492038	1.632422978	1.305262521
X174	-0.7561466	-0.592096466	0.447519809	-0.247048334	-0.646020124	-0.763073221	-0.668200722	-0.734660022	-0.359178865	-1.425944504	0.507848168	-1.071905836	-1.109803102	0.264790301	-1.497956129	-1.460355525	-0.832351117	0.159840175	-0.097885839	-0.451031559	-0.827013663	-1.445369975	0.299640024	0.534128166	-0.789352272	0.232716473	0.974947248	0.465703455
X175	-0.650648519	-0.100772354	-0.270850791	0.080158449	0.563731759	-0.233182861	-0.195393471	-0.303169711	0.138757066	-0.013736351	-0.017997385	-0.803172315	-0.802620676	-0.179559091	-0.624052238	0.006100907	-0.174457007	-0.222927262	-0.711154606	0.650167939	-0.927007539	-0.629576107	-0.201101541	-1.323181556	-0.185560677	0.492626569	0.609694584	-0.500401618
X176	-0.584841976	-0.38143333	-1.020735443	-0.723209788	0.938813824	-0.178407517	-1.030591008	-0.56783451	-0.582302129	-0.066532089	-0.852374144	-0.734675819	-1.919509905	0.46137267	-1.370665834	0.129688315	0.011699938	-1.259663573	-0.466481403	-0.069077744	-0.56301586	-1.576854866	-1.05051398	-1.861958526	-0.532753405	-0.081677066	-0.017347683	-1.313767155
X177	2.357417929	-0.364703715	-0.925248771	-0.53970903	1.390990356	0.274780698	1.115326776	1.209801886	-0.009685655	0.197270398	-1.870274726	0.091243527	-1.20347516	-1.78033637	0.482094749	1.286307941	-0.750536562	-1.145117989	-1.477075115	-0.649422564	0.543364392	-0.357806565	-1.208302148	-1.957478809	-0.747941394	-0.724905398	-1.637930087	-1.88108531
X178	0.177833232	-0.667857735	-0.632493866	-0.973612653	-0.642207729	-0.528638932	-1.132793221	-1.532646367	-0.811151661	-0.487411864	0.929500713	-0.354539567	-0.195272193	-0.004303148	0.044478663	-0.305953823	0.341469409	-0.898324534	0.901659417	0.502382587	0.108309424	0.763103647	-0.749179664	1.052117286	-0.106724859	1.041903661	-0.899420463	0.411616889
X179	0.547812636	0.376673909	-0.436115066	-0.97226077	-0.618797503	0.141855077	0.086482777	0.354137736	-0.589508938	-0.668815948	0.380964974	1.136122103	-0.501811925	0.01460194	0.773907635	-1.618236699	0.242474376	-0.201345835	1.871330366	-0.125493272	0.584047	0.189739275	-0.197097661	0.64981067	0.447284236	0.445584292	-1.218575651	0.176640388
X180	0.606245053	-0.713361914	-1.133001086	-0.72440318	0.168650089	-0.429299878	-1.317420948	-1.269173106	-1.064283521	-0.378156206	0.107729899	-1.167352659	0.149115137	-1.658157544	-0.556680385	0.059621655	-0.22912494	-1.504097646	-0.045303077	-0.824609455	2.292666765	-0.117085365	-0.803579969	-0.115928885	-0.538249678	1.566644375	-1.727831356	-0.420674689
X181	-1.236493251	-0.940417493	-1.196848837	-1.480780415	-1.049171452	-0.296806729	-1.181561334	-1.670196118	-1.354729503	-1.365678514	0.682624981	-1.996475863	-1.080451588	-0.523716625	-1.185265819	-0.916774502	-0.355338213	-1.501823377	1.570469485	-1.219297173	0.095287012	-0.561948819	-1.140494154	0.779094559	-1.179777807	-0.268508487	-1.790869457	0.074753275
X182	0.245966158	-1.249238108	-0.196711749	-0.113982179	0.435651726	-1.041886658	-0.750339828	-0.769271177	-0.303679072	0.502289521	-0.384590075	-0.005564125	0.14812317	-1.625719335	-1.82465474	0.052612224	-0.093517523	-0.647461236	0.57883135	-0.715670186	0.6650538	-0.263140445	-0.497759579	-0.225423354	-0.697570759	0.128170061	-0.449060819	-0.638808693
X183	-0.474295492	-0.620203993	-0.72682773	-1.241168327	-0.840768204	-0.133892281	0.255901877	0.867787271	-1.04306374	-1.115770714	1.414996863	-1.370627829	0.34702392	0.428655104	1.375308196	-0.800827714	-0.945462604	-0.482649133	1.546881702	-0.553091318	-0.034312353	0.305780274	-0.863261686	0.97493034	-1.176772114	0.191168221	0.386162934	1.128998189
X184	0.386682815	2.424767897	-0.536730974	-0.989522255	-0.940976734	0.148698358	0.468304759	-0.481054197	-0.733483201	-0.803949184	0.687813525	-1.152455395	-0.984406829	0.490062428	0.964256098	-0.98048505	-0.426379492	-0.641514553	0.89927063	1.014878588	-0.246667612	0.771602671	-0.52173289	0.664628261	-1.410104917	1.663595435	-0.747191644	0.483208651
X185	0.855616013	1.991626947	1.253343594	0.439233248	-0.176864501	1.03052948	1.544502061	1.125072526	1.262073025	0.601101416	0.287355896	0.863091137	0.629719935	0.759322358	2.059824874	-0.671010634	1.63799547	1.839576179	0.015699318	0.957388505	0.714742528	1.11964596	1.216187552	0.743735769	1.144456598	-0.62922401	-0.059805644	0.346772693
X186	-0.081780452	1.500205818	0.441711458	0.146621265	-0.062494977	0.509724264	1.246126737	-0.151914623	0.310858993	0.65897544	0.336372334	-0.240175254	-0.982604678	0.362106686	1.263918456	-0.361051884	0.659000263	0.317326455	0.304424344	1.289546449	0.11636398	0.796503013	0.74283862	0.865414393	-0.751823727	0.758458785	0.531368939	0.392571152
X187	0.690246711	1.116968144	-0.950275945	-1.811260372	-0.63098813	0.276327999	0.840618094	-0.295039064	-0.817468041	-0.545307528	1.593891	-0.784590546	1.281350759	-0.00557399	0.142472049	-0.342194303	0.481323152	-0.998647363	1.202617135	0.65606188	0.899424126	2.569006498	-1.500090351	0.313116957	0.667027382	1.001547266	1.662171117	1.012159624
X188	-0.491953691	0.688112031	0.881037416	0.866039131	-0.335398202	0.693020053	0.922173888	0.361927045	0.94241381	0.78427957	0.785606843	0.814786038	0.936451087	0.766371477	0.555450435	0.027690231	-0.450679806	1.092959409	0.199778392	0.242710489	0.591688433	1.421769216	1.019073218	0.383852454	1.499870075	0.455168486	0.170705534	0.341196235
X189	-1.794808751	0.195748002	0.751439514	0.422267975	-0.269579084	0.735977337	0.165447909	-0.193587412	0.707025435	0.431898983	0.19823523	0.990757408	1.064149349	-0.307089626	0.649703706	0.070239376	-0.287073436	0.580668323	0.261205083	-0.704997783	-0.178875127	0.471482186	0.492330449	0.213164115	0.863246435	-0.956221833	-0.10687199	0.360644709
X190	-2.036302899	-0.904108285	0.706633252	0.010065014	-0.880883379	-0.410949037	-0.079041113	-0.771790906	0.296482972	-0.682872364	1.187034967	0.328240087	0.561873149	0.399902075	0.350939284	-0.556525057	-1.1098204	1.010390031	0.099309788	-0.356299686	-0.450871914	1.174169814	0.68479049	0.733330448	0.745109358	-0.082778476	-0.020817916	1.415443987
X191	-0.376632368	-0.100655219	0.664061937	0.689827371	0.250418857	0.451617424	-0.049843973	-0.362205478	0.697506427	0.392414034	0.051692482	1.372669127	0.115082356	0.43596977	-0.300527721	1.616256391	-0.362370833	0.58656076	0.464821518	0.877322832	-0.487879989	-1.352155444	0.741463189	-0.367234105	0.895217556	-0.165900015	-0.217441402	-0.130579398
X192	-0.579877863	0.439037798	0.628490613	1.300199546	0.646328387	-0.666296788	-0.724883188	1.158381401	0.463872239	0.232953293	-0.719965935	0.747673065	-1.125071482	0.362608838	-0.236139828	1.948562716	-0.388716471	0.559851364	-0.789759904	-0.921451274	-1.492400933	-0.956805756	0.518017079	-1.23493213	0.336504046	-0.492327108	-0.662566632	-0.349314161
X193	-0.173970077	0.772679774	1.553186362	1.674051131	1.118328327	1.244247925	0.985649615	0.595147274	1.634964963	1.941226286	-1.008843756	2.571148437	1.156621482	0.601416163	-1.209485984	0.06787922	0.263136852	1.202678098	-1.156147975	1.438084427	0.192258603	-0.811818476	1.876833485	-0.603927758	1.175439996	0.104053766	0.220978107	-0.573430417
X194	-0.955403969	0.658944186	-1.227435057	-1.132592813	-0.766515782	-1.032757336	-1.130931485	-1.78933779	-1.537350409	-1.413196432	0.245791988	0.083331082	-1.655928185	0.30905415	0.676562943	-1.069938928	-0.634481157	-0.986433032	0.189485082	0.367506565	-1.001036423	0.081572526	-1.199827118	1.249835208	-0.537711737	1.400890932	-1.026301229	2.264808688
X195	-1.176034074	0.430693626	1.185296224	0.281606689	-0.632126312	0.027644762	0.064111651	-0.091553018	0.39409689	-1.339132413	0.839871974	0.049269908	0.416023806	0.983977626	1.900522901	-0.725475914	1.439582472	1.00069983	0.992025847	1.235365948	0.094965902	1.426659214	0.974504697	0.516479286	1.021723667	0.990700183	0.806469565	0.455978462
X196	0.374012162	-0.266972218	-0.804983808	-0.340503311	-0.698884461	-0.677008535	-0.41933708	0.01124389	-1.039756329	-1.202207516	0.597485939	1.850991221	-0.319948719	-0.591824736	1.579037041	-0.494610558	-0.721992651	-0.133111938	0.576022904	-1.08740882	0.829243718	-0.019300971	-0.283482049	0.807432998	-0.532123224	-0.112515322	0.199405041	0.250688332
X197	0.527911476	0.933685743	-0.632833702	-0.521342085	-0.256455032	-1.093846668	-0.946756422	-0.682946555	-0.63376214	-0.023465115	-0.210898575	-0.052923838	0.779125767	-0.810585703	-0.332844095	0.297522652	-0.135783191	-1.138267485	0.204946734	1.631733898	1.170515211	0.550816073	-0.35754113	-0.214659912	0.742116119	0.835737021	1.040413595	0.083856388
X198	1.669948521	0.576742255	-0.373528613	0.698678014	1.117010749	-1.53382106	-1.726961274	-1.016072902	-0.80572755	-0.43220736	-0.573919236	0.528355067	0.364452891	-1.270479241	-1.024142015	1.5244396	-1.04020415	-0.391322715	-0.875164159	0.609898995	-0.054269208	-0.222267406	-0.306930666	-0.858779241	0.878228561	0.820845305	0.731800072	-1.150711354
